att1,att2,att3,att4,att5,att6,att7,att8,att9,att10,class
v2,8054,1,26590,70,3643,0.646,6760,33,0.57, class1
v1,8139,1,29429,39,5584,0.673,6819,25,0.5, class1
v2,8134,0,29674,54,5549,0.814,6919,61,0.66, class1
v3,7949,1,,53,2231,0.89,5528,33,0.4, class1
v1,8087,2,29513,62,5621,0.78,4307,24,0.86, class1
v3,8013,2,29662,52,5232,0.643,5544,30,0.62, class1
v3,7908,2,17099,29,4466,0.655,7332,19,0.72, class2
v3,7508,0,27803,50,3195,0.855,4618,55,0.9, class1
v1,7950,1,29728,34,1263,0.558,6757,57,0.39, class1
v2,,2,18694,71,4944,0.693,5127,22,0.4, class1
v2,7683,2,28262,51,3304,0.662,3781,62,0.65, class1
v2,7823,0,23150,45,5655,0.448,5031,23,0.65, class1
v3,7558,2,25882,36,2446,0.646,3994,44,0.64, class1
v2,8101,0,26571,36,2065,0.423,6309,54,0.42, class2
v1,7765,1,29570,57,1348,0.902,6106,53,0.9, class2
v1,7815,1,19051,54,3207,0.452,5981,33,0.9, class2
v2,8167,2,23500,29,5582,0.65,3996,57,0.6, class2
v3,8187,1,20433,35,4684,0.645,5924,58,0.89, class1
v3,7878,0,29723,53,4977,0.64,5326,47,0.78, class1
v3,7570,0,29378,52,3963,0.87,3470,61,0.82, class1
v3,8036,0,28004,34,3736,0.908,6368,65,0.89, class1
v1,7966,0,28443,56,2570,0.883,4717,26,0.4, class1
v1,7844,0,,72,5155,0.643,6006,14,0.9, class1
v2,7686,1,18025,31,3691,0.461,5469,27,0.51, class1
v2,7796,1,29402,60,1757,0.652,6013,17,0.39, class2
v1,7552,2,29302,56,5495,0.678,6048,17,0.63, class1
v2,7761,0,29084,55,1559,0.663,4364,65,0.47, class2
v1,7627,1,29481,72,2547,0.867,4098,34,0.76, class1
v2,7950,2,28962,42,5453,0.809,4611,44,0.43, class1
v1,7854,1,19789,63,5462,0.906,5898,22,0.46, class2
v1,8024,1,25051,71,5682,0.835,6956,12,0.47, class1
v3,8141,0,29773,63,1286,0.904,4541,30,0.56, class2
v1,7704,1,27076,35,3558,0.896,3184,16,0.88, class2
v2,7670,2,27989,47,5577,0.882,7007,21,0.64, class1
v1,7978,0,29573,54,1299,0.888,3984,32,0.63, class1
v2,7535,1,22638,68,5479,0.839,6176,32,0.86, class1
v3,7825,0,27211,36,5132,0.616,3266,31,0.57, class1
v3,7871,2,25405,56,4256,0.413,3695,33,0.4, class2
v3,7901,0,26304,71,1345,0.664,3872,31,0.9, class1
v1,7574,2,21073,27,1891,0.822,5416,24,0.82, class1
v2,8183,1,29453,27,5162,0.7,5778,23,0.8, class1
v2,8128,1,26775,72,3921,0.812,4440,34,0.68, class2
v1,8000,2,,30,5008,0.883,4224,26,0.39, class1
v2,7625,0,27067,71,3744,0.79,6774,35,0.89, class1
v1,7636,0,29596,52,4520,0.898,7025,60,0.88, class1
v1,8140,0,26882,44,2356,0.856,4396,30,0.88, class2
v1,7772,0,28842,40,4930,0.466,5754,37,0.65, class1
v3,7825,0,28891,30,1385,0.674,4802,13,0.54, class1
v1,8042,0,20448,32,5527,0.877,7117,30,0.45, class1
v2,7789,0,29186,72,1213,0.647,3517,57,0.77, class1
v2,7847,2,25073,55,1987,0.654,6315,40,0.79, class1
v1,7872,1,18442,62,5313,0.5,4083,31,0.63, class1
v3,8075,1,21920,55,3208,0.496,6967,50,0.82, class1
v3,7949,1,29623,72,2954,0.913,3156,31,0.65, class1
v3,7795,0,27399,42,1514,0.91,6297,51,0.55, class1
v1,8107,1,22458,27,4354,0.872,4975,48,0.9, class1
v2,7958,0,26944,32,5528,0.703,3293,31,0.82, class1
v1,7769,0,,48,4809,0.885,4652,30,0.89, class1
v1,7658,1,23916,52,1404,0.57,6876,36,0.89, class1
v2,7948,1,29677,45,5540,0.91,6439,57,0.58, class2
v1,7843,1,28369,67,1545,0.643,5606,41,0.85, class1
v1,7948,2,28911,27,5475,0.668,4641,59,0.54, class2
v1,7763,1,27861,32,1353,0.912,5263,59,0.39, class1
v3,7951,0,29533,34,3803,0.687,7240,24,0.88, class1
v1,7665,1,27060,38,5212,0.887,6140,43,0.87, class1
v2,8182,1,26834,71,5673,0.394,5359,34,0.78, class1
v3,7687,1,29412,54,1377,0.882,3767,32,0.61, class1
v1,7536,0,29639,28,4928,0.88,5389,31,0.41, class1
v3,7834,0,28448,65,5476,0.906,3291,33,0.82, class2
v1,8030,0,28850,50,1493,0.546,5497,65,0.48, class2
v2,7951,2,29487,32,1285,0.8,4954,57,0.89, class1
v3,8169,0,29766,34,3842,0.91,7008,12,0.8, class2
v3,7613,0,27076,26,5274,0.648,6649,56,0.75, class2
v2,7950,0,,34,5259,0.911,6412,32,0.76, class1
v3,7950,0,28732,38,5498,0.883,7126,31,0.65, class2
v3,7826,2,25013,36,5485,0.644,3771,31,0.86, class2
v3,8167,0,23089,38,5623,0.54,4297,35,0.88, class2
v2,7759,2,29184,40,5454,0.534,6836,57,0.51, class2
v3,7865,0,29634,57,5267,0.654,3878,63,0.86, class1
v2,7548,0,28008,67,5122,0.641,6132,25,0.78, class1
v2,7518,0,26505,29,1318,0.638,5955,34,0.66, class1
v3,7566,0,24071,40,5410,0.747,3590,33,0.57, class1
v3,8132,2,26406,69,5481,0.749,3368,56,0.6, class1
v2,8157,0,25440,38,4245,0.87,4950,57,0.62, class2
v2,7742,2,29561,28,5232,0.853,6538,15,0.7, class1
v1,7867,0,28563,40,2640,0.442,6980,56,0.41, class2
v1,7621,2,29776,49,5068,0.509,4563,57,0.63, class1
v2,7510,1,27918,59,5191,0.665,7325,59,0.64, class1
v2,7823,1,29720,49,1187,0.838,7275,57,0.88, class2
v1,8100,2,29662,71,4054,0.625,7312,61,0.4, class2
v3,7851,2,29663,40,1415,0.879,6993,62,0.47, class1
v3,8161,2,22270,71,3027,0.682,4897,53,0.39, class2
v2,7728,0,22910,41,4028,0.642,6758,26,0.39, class1
v1,7949,1,25257,26,5130,0.652,6326,19,0.88, class2
v1,7838,0,26586,27,5570,0.851,5080,22,0.86, class1
v2,8060,1,29579,70,1418,0.913,4839,16,0.41, class1
v2,8179,1,29479,43,3238,0.843,4305,22,0.83, class1
v1,7794,0,,71,5113,0.864,6050,56,0.68, class2
v1,7643,2,27333,56,5595,0.424,4192,64,0.89, class2
v2,7575,2,29409,32,1523,0.641,4156,30,0.46, class1
v3,7845,0,29415,71,4730,0.875,5298,19,0.82, class2
v2,7753,0,28515,72,3723,0.91,6261,14,0.77, class1
v3,7810,2,29587,52,5681,0.671,5313,47,0.48, class2
v1,7853,1,28269,40,3272,0.885,6537,35,0.43, class1
v2,7762,2,22131,58,4486,0.688,6844,33,0.64, class2
v2,8042,1,23939,58,5539,0.766,3888,17,0.74, class1
v1,7736,1,28597,28,5371,0.784,6551,31,0.83, class2
v3,7764,0,28162,67,5462,0.843,4209,44,0.65, class1
v2,7838,0,29677,28,2477,0.786,6828,23,0.88, class1
v2,7823,1,26480,33,5098,0.911,6616,58,0.4, class1
v3,7879,0,29634,53,5478,0.646,4178,26,0.7, class1
v2,7935,0,28550,46,1328,0.897,4362,51,0.45, class2
v3,7842,0,28772,48,1386,0.881,5569,56,0.66, class1
v3,7938,2,25535,55,5063,0.913,4931,23,0.43, class2
v1,7748,1,22059,31,5039,0.412,6094,17,0.8, class2
v1,7945,1,28898,26,5495,0.728,6069,58,0.46, class1
v3,7629,1,29759,72,4781,0.638,5740,31,0.66, class2
v3,7554,1,27365,38,2401,0.501,6740,33,0.61, class1
v1,7947,0,17219,72,3689,0.864,6046,61,0.47, class1
v1,7841,0,25669,49,5510,0.684,6428,48,0.46, class2
v3,7949,2,29650,71,1315,0.865,4804,13,0.9, class1
v2,7596,2,27517,38,1522,0.488,4977,39,0.86, class2
v1,7950,2,27328,51,1379,0.449,5836,51,0.41, class1
v2,7605,1,16971,65,5574,0.756,6215,40,0.89, class1
v3,7745,1,25824,67,5589,0.589,7130,20,0.66, class2
v1,7567,0,29538,32,4172,0.852,7197,30,0.51, class1
v3,7543,0,26873,63,4993,0.651,3763,26,0.53, class1
v1,7808,2,18345,69,2764,0.89,5721,32,0.51, class1
v1,7555,0,28867,44,5119,0.844,4638,56,0.72, class2
v2,7538,0,28595,70,1321,0.91,7182,33,0.87, class2
v1,7924,0,29255,100,1333,0.849,3367,27,0.81, class1
v3,7942,1,29670,34,5179,0.914,4304,56,0.62, class1
v3,7715,1,28832,29,5643,0.444,6381,57,0.47, class1
v1,7831,2,25352,72,5338,0.804,4173,18,0.74, class1
v2,7949,0,28667,36,1177,0.668,6851,56,0.62, class1
v3,7598,0,29556,53,5627,0.642,7329,32,0.62, class2
v2,7894,1,25261,71,4979,0.906,6731,64,0.88, class1
v2,8007,2,27184,70,1453,0.62,4542,23,0.82, class1
v2,7986,0,29410,42,5681,0.69,5550,35,0.71, class2
v3,7574,2,,32,5368,0.912,5377,35,0.41, class1
v1,7528,1,24125,35,5476,0.652,6269,25,0.65, class1
v3,7576,1,28981,41,1445,0.645,6961,30,0.7, class1
v3,7893,1,29188,53,4544,0.911,5262,46,0.61, class1
v2,8170,2,24733,32,5539,0.424,4915,22,0.88, class1
v2,7950,1,19441,31,5629,0.641,6929,31,0.6, class1
v1,7712,1,25633,34,1341,0.884,3615,20,0.76, class1
v3,7791,1,26779,71,1344,0.501,5647,56,0.74, class1
v3,7796,0,26081,47,5519,0.723,6197,33,0.7, class2
v1,7935,0,26133,53,2697,0.913,4056,16,0.64, class1
v1,8178,0,23859,36,1202,0.899,6677,38,0.54, class2
v1,7517,1,27446,27,2410,0.502,6776,21,0.71, class1
v2,7947,1,28303,55,5445,0.886,3279,60,0.66, class1
v2,7604,0,28947,54,4016,0.615,5757,19,0.79, class2
v2,7713,1,28451,36,1305,0.678,4671,31,0.69, class1
v2,7949,1,18186,35,5538,0.451,5477,32,0.88, class1
v1,7856,0,22669,31,5385,0.643,3952,24,0.7, class1
v2,7586,1,29753,51,5467,0.643,6171,20,0.62, class2
v1,7525,2,28553,51,1867,0.495,6578,60,0.44, class2
v3,7735,1,28576,34,1390,0.628,4003,56,0.66, class1
v3,7949,0,29515,54,2196,0.568,3988,14,0.5, class1
v2,7810,2,26813,36,5701,0.67,5265,31,0.85, class1
v3,7532,0,29569,71,4504,0.479,4018,23,0.81, class2
v3,7807,1,17964,48,2143,0.859,6314,19,0.53, class2
v3,8168,0,26835,32,5222,0.835,4815,13,0.8, class1
v2,7950,1,28683,72,5119,0.669,3984,59,0.9, class1
v1,7826,2,25052,34,5674,0.69,5209,33,0.88, class1
v3,7567,0,25875,35,5392,0.862,4400,30,0.9, class2
v3,8133,2,29675,54,1244,0.894,6570,57,0.54, class1
v3,7799,1,27856,35,5431,0.701,5891,29,0.45, class2
v1,7702,1,29711,69,5681,0.878,4512,24,0.7, class1
v2,7918,0,28167,56,3430,0.702,6159,19,0.89, class2
v2,7906,0,25914,43,5578,0.713,4967,12,0.42, class1
v2,7577,1,,35,1543,0.691,6880,13,0.52, class1
v3,7700,2,29259,51,5713,0.854,5865,14,0.41, class2
v3,7599,2,29569,35,5548,0.914,5262,16,0.9, class1
v1,7784,0,25424,55,4975,0.798,5761,30,0.52, class2
v3,7976,1,27176,33,5149,0.643,4734,17,0.43, class1
v1,7758,1,18140,71,5602,0.502,4888,27,0.53, class1
v2,8116,1,27328,27,3199,0.646,6943,50,0.68, class2
v1,7779,1,23240,44,5624,0.843,4749,61,0.74, class1
v3,7947,1,20527,71,5171,0.638,5414,35,0.62, class1
v1,8187,1,26560,71,5466,0.906,5103,57,0.47, class2
v1,8155,1,29231,60,5360,0.704,6477,56,0.52, class2
v3,7767,2,28755,53,2941,0.657,7287,14,0.56, class1
v2,8021,1,25522,56,5340,0.703,4334,27,0.8, class2
v2,7550,1,29369,51,5040,0.647,3678,57,0.89, class1
v2,8028,1,29538,41,5634,0.657,4561,63,0.67, class1
v2,7950,1,28174,69,5071,0.679,3729,25,0.63, class1
v1,7949,2,28646,41,5308,0.656,3959,64,0.42, class2
v2,,0,27464,34,5229,0.804,6509,61,0.57, class1
v3,7804,2,27109,26,1992,0.735,5522,29,0.8, class2
v2,7664,1,29567,51,5377,0.906,6223,15,0.48, class1
v3,7772,0,24154,29,3504,0.913,6084,29,0.9, class1
v2,7783,1,27730,59,5161,0.549,6346,62,0.64, class1
v1,8076,0,27388,34,5563,0.688,3215,26,0.54, class2
v1,7666,1,25254,71,5600,0.743,3999,33,0.89, class1
v1,7901,0,20780,40,5711,0.872,4477,57,0.8, class1
v3,7903,0,29517,39,5384,0.739,3987,40,0.75, class1
v2,8031,2,29766,27,5070,0.642,5584,44,0.67, class1
v1,7569,1,29698,31,4341,0.795,3691,30,0.55, class2
v3,8169,1,29495,32,4969,0.723,3942,35,0.62, class1
v3,8152,0,28740,54,2542,0.908,5143,30,0.64, class1
v2,7813,1,29485,71,1494,0.526,6519,56,0.64, class2
v3,7712,1,25137,33,5337,0.49,6962,18,0.88, class2
v2,8007,0,24428,41,5160,0.858,7169,60,0.55, class2
v3,8160,2,29567,35,2563,0.874,5547,20,0.9, class2
v3,7851,2,25484,37,5314,0.638,6841,27,0.44, class2
v1,7870,0,28767,38,1445,0.664,5713,28,0.61, class2
v1,7532,2,29313,71,1239,0.657,5943,30,0.83, class1
v2,7796,1,17044,32,5681,0.45,7181,30,0.46, class1
v2,8137,0,27608,34,1181,0.881,5293,17,0.47, class1
v1,7521,0,,59,5560,0.842,5933,30,0.44, class1
v2,7901,1,29122,51,5543,0.549,6583,30,0.89, class2
v3,7948,0,29389,41,4326,0.913,5230,59,0.39, class1
v3,7947,0,25813,,5453,0.669,4092,19,0.39, class1
v2,7731,1,26353,67,1401,0.763,3735,18,0.89, class2
v3,7906,2,28053,50,3388,0.662,7120,65,0.87, class1
v2,7895,1,29719,72,1935,0.682,3896,26,0.63, class1
v1,7837,0,29553,45,1470,0.886,7038,57,0.47, class1
v3,7591,2,17078,36,5667,0.905,7295,18,0.65, class1
v2,7845,2,28234,39,5622,0.894,3944,24,0.65, class1
v2,7948,2,25396,27,5475,0.907,6275,24,0.82, class2
v3,7948,1,29540,39,1313,0.66,4155,44,0.89, class1
v3,7950,1,24172,27,4896,0.763,3760,19,0.62, class2
v1,7987,0,29507,44,5494,0.649,5113,14,0.9, class1
v1,7794,0,28154,55,3125,0.582,6405,27,0.84, class2
v1,8013,0,29712,32,5380,0.646,5838,35,0.89, class2
v1,7757,2,29120,40,1686,0.489,4628,59,0.7, class1
v1,8048,1,26085,26,5504,0.609,5450,43,0.55, class1
v1,8032,0,17472,38,5147,0.646,3976,60,0.9, class2
v1,7870,1,28206,48,5529,0.701,6851,35,0.77, class2
v1,7950,2,22356,37,5261,0.841,7022,14,0.69, class1
v1,7706,0,23447,32,5233,0.856,7096,61,0.39, class2
v2,7778,2,25373,41,3725,0.562,6425,31,0.65, class1
v1,8058,2,25464,33,5015,0.839,6236,60,0.62, class2
v2,7838,1,27405,32,5034,0.771,7071,26,0.83, class1
v2,7565,1,28270,48,5455,0.858,6760,48,0.75, class1
v3,7528,2,28347,71,5688,0.876,6428,28,0.61, class1
v3,8040,2,28893,62,1542,0.525,6396,34,0.42, class1
v2,7948,1,26596,71,5340,0.51,4709,56,0.83, class2
v1,8177,2,26626,28,5432,0.858,7004,65,0.86, class1
v2,7850,2,29431,71,4438,0.858,4846,38,0.41, class2
v3,7782,1,27575,54,2706,0.614,6048,56,0.74, class1
v1,7857,0,24500,51,1343,0.665,3885,39,0.9, class1
v3,7722,0,29702,57,5640,0.682,3292,32,0.84, class2
v2,7714,1,,42,1341,0.847,3373,64,0.48, class1
v3,7542,,26281,49,5191,0.869,3578,57,0.42, class1
v3,7658,1,29677,64,4939,0.689,4788,15,0.61, class1
v1,8157,0,29557,36,5115,0.499,5608,64,0.44, class2
v1,7951,0,26592,69,5370,0.665,3990,15,0.41, class1
v3,7865,1,29548,33,1312,0.671,6005,38,0.63, class2
v3,8079,1,27093,38,5466,0.886,6638,31,0.77, class1
v1,7622,1,22265,35,1252,0.903,3573,64,0.62, class1
v1,7703,1,29153,71,2273,0.876,5692,24,0.66, class1
v1,8172,0,27701,70,,0.404,7344,13,0.81, class1
,7751,2,27270,52,5649,0.658,7136,18,0.62, class1
v2,7828,1,29373,71,1318,0.866,6577,38,0.9, class2
v3,8163,1,29516,72,1205,0.898,4287,28,0.83, class1
v1,7783,0,29518,28,1467,0.638,5164,17,0.44, class1
v1,7861,1,29691,30,5052,0.905,3900,38,0.67, class1
v3,7927,2,23986,35,5424,0.522,5278,66,0.69, class1
v2,7950,2,27360,72,1408,0.651,6470,20,0.88, class2
v3,7655,0,28086,41,5438,0.644,6777,30,0.54, class2
v2,7950,0,19434,60,1386,0.514,4039,20,0.83, class1
v2,7735,2,19561,33,5472,0.91,5479,51,0.58, class1
v1,7824,1,22237,71,5477,0.881,4594,12,0.5, class2
v3,7747,0,28542,53,5655,0.415,4931,33,0.88, class2
v3,7564,1,27679,56,1302,0.866,3641,28,0.62, class2
v2,8119,0,29482,46,4685,0.664,5614,56,0.45, class2
v2,7903,0,24714,72,5438,0.493,7220,36,0.9, class2
v2,7951,2,20744,39,5622,0.642,7307,36,0.65, class2
v3,7711,0,20455,30,2828,0.877,7208,12,0.45, class2
v1,7903,2,,71,5396,0.665,6503,12,0.62, class1
v1,8162,2,29373,46,5445,0.433,4860,63,0.49, class2
v2,8149,1,24466,69,5394,0.69,4944,39,0.44, class2
v1,7801,0,28516,56,5373,0.723,7170,63,0.74, class1
v2,7704,2,29504,55,5288,0.91,3391,39,0.6, class1
v1,8045,1,29262,46,1332,0.477,7124,17,0.41, class2
v3,7887,1,27441,68,5644,0.839,6461,20,0.58, class2
v2,7713,0,26533,40,2404,0.668,5340,60,0.59, class2
v2,8164,0,28419,72,5278,0.396,4707,12,0.9, class1
v2,7955,2,29383,29,4985,0.678,4867,56,0.69, class2
v2,7891,1,27165,40,5006,0.648,7027,30,0.61, class1
v3,7641,1,29432,52,5313,0.474,5031,34,0.75, class1
v2,7638,2,28106,34,5639,0.883,4451,27,0.64, class1
v3,8055,0,25137,31,4989,0.591,6996,21,0.89, class1
v3,7847,1,29746,34,5288,0.683,5115,38,0.89, class2
v2,7756,0,28761,68,5538,0.675,6330,16,0.9, class1
v1,8149,0,29394,62,4736,0.423,4494,30,0.58, class1
v1,7976,1,29720,37,1494,0.777,7203,28,0.47, class1
v2,7898,0,21684,34,5662,0.536,3943,24,0.48, class2
v1,7520,1,26279,40,2093,0.499,5714,35,0.64, class2
v3,7776,0,25031,50,1237,0.511,6634,24,0.66, class1
v1,7658,2,29717,51,4840,0.866,6880,56,0.9, class2
v1,7783,1,29529,32,5523,0.888,6649,32,0.71, class1
v1,7833,0,27611,72,5325,0.912,7211,23,0.7, class1
v1,7734,1,29120,34,5389,0.853,4203,50,0.89, class2
v3,7666,0,23998,57,3965,0.88,5957,34,0.88, class1
v3,7887,1,29575,40,1531,0.871,6999,20,0.88, class1
v3,8027,2,28549,37,1266,0.649,6923,26,0.69, class2
v2,7805,2,25924,49,5188,0.697,7146,30,0.64, class2
v2,7807,1,26974,65,1405,0.908,6565,31,0.88, class1
v1,7542,1,,28,4437,0.911,4422,56,0.82, class2
v3,7764,2,28417,50,2018,0.876,5487,30,0.42, class1
v3,7641,0,21390,47,5656,0.651,7302,36,0.53, class2
v1,7766,0,26118,36,3532,0.549,3795,24,0.63, class1
v2,8002,2,25903,67,3123,0.813,6799,14,0.41, class1
v2,7948,0,25392,29,5435,0.867,4373,12,0.4, class1
v2,7556,0,29412,72,5482,0.892,3155,27,0.73, class1
v1,7898,1,25905,72,5684,0.694,3524,39,0.89, class1
v2,7875,0,28616,33,5600,0.851,4021,33,0.57, class1
v2,7930,0,28354,44,5636,0.48,6902,36,0.52, class2
v1,7949,0,22786,46,5678,0.644,6931,29,0.74, class1
v2,7975,2,29433,30,5639,0.458,7301,37,0.64, class2
v2,7842,1,26906,63,5511,0.615,3869,51,0.61, class1
v2,7851,1,29411,35,4947,0.868,6719,20,0.9, class1
v2,8131,1,17597,46,5243,0.877,6040,56,0.75, class2
v2,7743,0,18320,72,5454,0.868,3260,44,0.46, class1
v2,7821,2,29688,55,4946,0.686,4752,30,0.45, class2
v1,7665,2,,48,5682,0.674,7136,14,0.89, class1
v2,7861,1,22847,35,5351,0.753,5436,24,0.8, class1
v3,7783,0,29668,61,2535,0.857,6161,30,0.71, class1
v1,7536,2,29035,34,5536,0.667,5261,19,0.8, class2
v3,7693,0,24986,49,5279,0.685,5354,56,0.89, class2
v3,7623,2,28584,48,5553,0.542,5911,61,0.85, class1
v1,8164,0,19501,33,5689,0.457,4402,24,0.69, class1
v1,7658,2,29757,35,1265,0.905,6168,56,0.65, class2
v2,8191,0,28036,70,5220,0.882,3749,44,0.9, class1
v2,8165,1,19412,27,5612,0.602,4592,34,0.47, class1
v1,7780,2,27842,53,5507,0.895,7084,26,0.4, class1
v2,7759,1,29034,72,1486,0.675,6981,56,0.89, class2
v1,7576,0,29675,29,5631,0.877,6255,21,0.42, class1
v3,7969,2,25779,32,1322,0.9,5966,57,0.57, class2
v3,7676,2,26319,72,5604,0.91,5064,63,0.64, class1
v1,7605,1,29401,47,5554,0.906,3807,46,0.89, class1
v3,8038,0,24406,54,3533,0.491,6533,22,0.67, class1
v1,7950,2,,27,2843,0.849,5366,30,0.53, class1
v1,7543,0,28429,61,5691,0.831,5670,18,0.59, class2
v3,7603,2,28800,39,1317,0.911,5125,56,0.49, class1
v2,7947,0,21908,71,1371,0.456,4993,56,0.89, class1
v1,8183,2,28963,46,1276,0.662,6717,13,0.74, class2
v1,7593,1,27049,33,5623,0.874,5938,19,0.82, class1
v1,7949,0,26711,41,1502,0.658,5579,39,0.88, class1
v3,7510,1,26763,33,5667,0.406,5818,41,0.89, class2
v3,7838,1,25511,43,5651,0.447,4660,35,0.9, class2
v1,8143,2,28129,64,4967,0.824,6910,26,0.62, class2
v1,7793,1,17316,41,5510,0.432,5208,13,0.85, class1
v3,7805,1,26905,29,5071,0.661,5020,26,0.45, class2
v2,7704,1,22925,33,5056,0.459,5138,31,0.88, class2
v1,7721,1,29569,42,1366,0.855,5055,19,0.9, class1
v2,7951,2,29407,70,5620,0.868,6585,56,0.8, class2
v3,7973,1,,71,1728,0.851,4357,54,0.7, class1
v2,7732,0,26500,38,1449,0.69,5999,57,0.88, class1
v2,7852,1,29526,63,3313,0.905,7191,30,0.9, class1
v3,8024,0,25722,29,4932,0.872,5255,57,0.67, class1
v3,7685,1,29516,56,5587,0.875,6451,20,0.64, class1
v2,8159,1,19501,72,4444,0.696,4428,18,0.39, class2
v1,7807,1,28728,64,1478,0.91,4541,60,0.65, class1
v1,8155,1,20283,35,1547,0.612,4431,29,0.9, class2
v3,7865,1,29464,40,5502,0.669,7244,57,0.88, class2
v1,7811,0,26575,71,5297,0.45,4987,60,0.65, class2
v1,7831,0,29381,51,1400,0.913,,40,0.59, class2
v3,7691,2,29610,34,1493,0.592,3401,34,0.88, class1
v2,7926,2,29762,55,5132,0.871,6378,13,0.64, class1
v1,7542,1,25231,71,4839,0.656,3848,29,0.52, class2
v2,7949,0,17975,71,4932,0.908,3784,63,0.42, class1
v3,7541,1,,36,5236,0.576,5143,13,0.51, class1
v1,8159,2,28219,33,5689,0.393,4997,34,0.42, class1
v2,7816,1,28619,72,3030,0.601,6977,29,0.61, class1
v1,7904,2,25016,39,1276,0.447,5423,29,0.7, class1
v2,7949,2,25501,44,1408,0.664,6525,56,0.57, class2
v1,8166,1,26285,46,5172,0.684,5030,31,0.52, class1
v3,7641,2,23899,71,2040,0.901,3586,56,0.64, class1
v3,7754,2,26741,35,5008,0.876,4152,40,0.55, class1
v3,7730,1,29534,72,4589,0.88,3497,29,0.39, class1
v3,7575,1,28013,56,5128,0.669,5583,36,0.43, class1
v1,,0,28752,34,1559,0.905,3470,57,0.6, class1
v2,7608,2,29469,52,1433,0.443,5161,25,0.9, class1
v1,7947,2,18208,41,1490,0.659,3218,25,0.6, class2
v3,7755,1,25727,36,5161,0.645,6195,30,0.9, class2
v3,8116,0,19035,34,1315,0.875,6970,20,0.62, class1
v3,7966,0,28249,29,2210,0.868,5467,34,0.55, class1
v1,7581,2,,39,4228,0.504,4371,23,0.4, class1
v2,7870,2,29740,46,5337,0.877,5845,15,0.42, class2
v3,8136,0,22714,57,5538,0.685,6885,35,0.88, class2
v3,7567,0,29580,43,4889,0.691,7146,56,0.68, class1
v1,8032,0,29438,35,5447,0.583,6220,35,0.41, class2
v1,7700,2,28189,34,5262,0.683,7145,46,0.6, class1
v1,7728,0,29557,29,5489,0.699,5388,13,0.56, class1
v1,7894,0,19955,72,5490,0.858,6443,35,0.57, class1
v3,7947,0,18526,41,4364,0.873,5285,52,0.51, class1
v3,7811,0,28941,45,5547,0.544,3355,32,0.87, class2
v2,7940,0,18114,66,5205,0.524,3899,38,0.63, class2
v2,7615,1,29198,33,1661,0.688,3926,34,0.89, class1
v1,7790,2,22653,26,1373,0.589,4887,27,0.5, class2
v3,7948,0,29710,69,5214,0.477,3259,24,0.82, class2
v2,7775,0,29689,31,5368,0.627,3834,57,0.67, class1
v1,7760,1,27215,33,5695,0.912,4318,44,0.79, class2
v2,8034,0,26353,71,5382,0.872,7084,57,0.78, class1
v1,7821,0,19910,55,1459,0.486,6614,62,0.4, class1
v3,8009,1,29764,72,1285,0.881,6430,60,0.84, class2
v2,7712,1,29723,61,3344,0.884,6955,49,0.48, class2
v1,8155,1,29365,35,5538,0.639,3602,31,0.9, class2
v2,7949,2,28962,33,5335,0.413,4186,32,0.59, class2
v3,,1,29684,36,4427,0.672,6577,57,0.42, class1
v1,7769,1,17618,39,2354,0.66,6547,56,0.89, class1
v1,7949,0,29547,27,2826,0.691,5231,62,0.72, class1
v1,8077,0,26409,36,5585,0.447,6499,30,0.88, class1
v2,7689,1,29439,38,1546,0.642,5254,57,0.51, class1
v2,7947,2,,71,4060,0.431,4592,56,0.87, class1
v3,7896,1,28848,44,1748,0.824,5929,33,0.55, class1
v2,7845,0,26611,65,4970,0.912,4041,57,0.54, class1
v1,7612,2,29566,55,5149,0.906,6571,61,0.65, class2
v2,8162,2,26555,35,5056,0.872,3518,30,0.39, class1
v1,7613,1,29134,36,2301,0.579,5403,64,0.65, class1
v3,7962,2,25874,47,1496,0.658,3816,39,0.9, class2
v1,7849,1,28300,27,3791,0.517,3781,36,0.47, class1
v1,7947,1,29588,40,5524,0.914,6716,38,0.79, class1
v1,8063,2,29509,40,5478,0.641,4091,23,0.86, class2
v3,7571,0,28078,44,1364,0.64,5257,20,0.46, class1
v2,7809,0,24932,39,4997,0.645,6153,25,0.73, class2
v3,7784,2,18410,34,1506,0.686,4334,30,0.88, class1
v2,7804,2,29578,35,1531,0.869,5105,40,0.89, class1
v1,8075,0,28924,60,1182,0.895,5115,34,0.62, class2
v2,7678,2,26711,43,2736,0.876,6781,30,0.83, class1
v2,7748,2,27628,36,4341,0.399,4828,36,0.88, class1
v2,8143,1,,42,5524,0.701,7358,38,0.9, class2
v2,7908,1,29773,41,5206,0.564,5942,33,0.47, class2
v1,7560,1,28014,40,1215,0.592,5299,22,0.7, class1
v2,8185,2,29551,51,1439,0.866,4959,16,0.39, class2
v3,7667,2,28411,31,4458,0.909,7104,34,0.72, class1
v2,7948,0,26346,30,2049,0.639,4508,46,0.9, class2
v1,7542,0,28988,39,3481,0.905,6988,37,0.57, class1
v2,7870,0,26575,48,5572,0.882,6654,42,0.43, class2
v1,7775,1,25697,40,2995,0.867,5089,18,0.57, class1
v1,7848,1,25579,35,1440,0.62,6559,39,0.76, class2
v2,8183,1,28133,39,3971,0.862,6018,30,0.56, class2
v1,7948,1,29398,72,5469,0.8,7031,26,0.67, class1
